"어느순간 팝업기능이 안되길래 없어진 줄 알고 한동안 티빙만 썼음 어느날 전화로 물어봤더니 폰 설정을 바꿔야 하는 거였는데 공지도 없었고 이게 뭐하자는 것인지 이런 건 미리 공지돼야 하는 게 아닌가 물었더니 상담사 분은 예예 이러고 끝이고 그리고 팝업에서 10초 앞뒤로 이동 버튼도 없어지고 얻은 것보다 잃은 게 더 많은데 이런 걸 개선 된 서비스라고 하나요 노트북으로 볼 때 잠깐 스쳑 는 장면 자세히 보려고 일시정지 빠르게 누르면 영상 처음부터 다시 재상됨 예전부터 불편하던 것들 진짜 할 것들은 안 하고 쓸데없는 일에 왜 그렇게 집착하는지. 이것 뿐만 아니라 라든가 등도 마찬가지 웨이비보다는 덜하지만 티빙도 마찬가지임 업데이트 이후 겁나 느려짐 업데이트를 하면 할수록 더 개판이 돼가는 느낌.","어느/MDT|순간/NNG|팝업/NNG|기능/NNG|이/JKS|안/MAG|되/VV|길래/ECD|없/VA|어/ECD|지/VXV|ㄴ/ETD|줄/NNB|알/VV|고/ECE|한동안/NNG|티빙/NNG|만/JX|쓰/VV|었/EPT|음/ETN|어느/MDT|날/NNG|전화/NNG|로/JKM|물어보/VV|았/EPT|더니/ECD|스마트폰/NNG|설정/NNG|을/JKO|바꾸/VV|어야/ECD|하/VV|는/ETD|거/NNB|이/VCP|었/EPT|는데/ECD|공/NNG|지도/NNG|없었/VV|고/ECE|이것/NP|이/JKS|뭐하/VV|자고/ECD|하/VV|는/ETD|것/NNB|이/VCP|ㄴ지/ECD|이런/MDT|건/NNM|미리/MAG|공지/NNG|되/XSV|어야/ECD|하/VV|는/ETD|것/NNB|이/JKS|아니/VCN|ㄴ가/ECS|묻/VV|었/EPT|더니/ECD|상담/NNG|사/NR|분/NNB|은/JX|예/IC|예/IC|이러/VV|고/ECE|끝/NNG|이/VCP|고/ECE|그리고/MAC|팝업/NNG|에서/JKM|10/NR|초/NNM|앞뒤/NNG|로/JKM|이동/NNG|버튼/NNG|도/JX|없/VA|어/ECD|지/VXV|고/ECE|얻/VV|은/ETD|것/NNB|보다/JKM|잃/VV|은/ETD|것/NNB|이/JKS|더/MAG|많/VA|은데/ECD|이렇/VA|ㄴ/ETD|것/NNB|을/JKO|개선/NNG|되/VV|ㄴ/ETD|서비스/NNG|라고/JX|하나/NR|요/JX|컴퓨터/NNG|으로/JKM|보/VV|ㄹ/ETD|때/NNG|잠깐/MAG|스쳑/UN|늘/VV|ㄴ/ETD|장면/NNG|자세히/MAG|보/VV|려고/ECD|일시/NNG|정지/NNG|빠르/VA|게/ECD|누르/VV|면/ECE|영상/NNG|처음/NNG|부터/JX|다시/MAG|재상/NNG|되/XSV|ㅁ/ETN|예/NNG|전/NNG|부터/JX|불편/NNG|하/XSV|더/EPT|ㄴ/ETD|것/NNB|들/NNM|진짜/NNG|하/VV|ㄹ/ETD|것/NNB|듣/VV|은/ETD|안/MAG|하/VV|고/ECE|쓸데없/VA|는/ETD|일/NNG|에/JKM|왜/MAG|그렇/VA|게/ECD|집착/NNG|하/XSV|는지/ECS|./SF|이/NR|것/NNM|뿐/NNB|만/JX|아니/VCN|라/ECD|라/NNG|든/JX|가/NNG|등/NNB|도/JX|마찬가지/NNG|웨이비보다/UN|는/JX|덜하/VA|지만/ECE|티빙/NNG|도/JX|마찬가지/NNG|임/NNG|업데이트/NNG|이후/NNG|겁/NNG|나/VV|아/ECS|느리/VV|어/ECS|짐/NNG|업데이트/NNG|를/JKO|하/VV|면/ECE|하/VV|ㄹ수록/ECD|더/MAG|개판/NNG|이/JKC|되/VV|어/ECS|갈/VV|는/ETD|느낌/NNG|./SF"
"내가 진짜 뭐든 사용하면서 그냥 불편하면 불변한데로 쓰는 사람인디 이건 너무하지 않나 싶네요. 결제해서 시청하는데도 접속이 원할하지 않다고 시청이 안되는건 뭐하자는건지 모르겄네요. 또. 무료시청은 되요. 뭐 이딴 경우가 있음 장난하는것도 아니고. 진짜 그지같은 앱이네요.","내가/NNG|진짜/MAG|뭐/NP|든/JX|사용/NNG|하/XSV|면서/ECE|그냥/MAG|불편/NNG|하/XSV|면/ECE|불변/NNG|하/XSV|ㄴ/ETD|데/NNB|로/JKM|쓰/VV|는/ETD|사람/NNG|이/VCP|ㄴ/ETD|디/NNG|이/VCP|건/ECE|너무하/VA|지/ECD|안/MAG|나/EFQ|싶/VXA|네요/EFN|./SF|결제/NNG|하/XSV|어서/ECD|시청/NNG|하/XSV|는데/ECD|도/JX|접속/NNG|이/JKS|원할하/VV|지/ECD|안/MAG|다고/EFN|시청/NNG|이/JKS|안/MAG|되/VV|는/ETD|건/NNM|뭐하/VV|자고/ECD|하/VV|는/ETD|것/NNB|이/VCP|ㄴ지/ECS|모/NNG|르/NNG|그/VV|었/EPT|네요/EFN|./SF|또/MAG|./SF|무료/NNG|시청/NNG|은/JX|되/VV|어요/EFN|./SF|뭐/NP|이딴/MDT|경우/NNG|가/JKS|있음/NNG|장난/NNG|하/XSV|는/ETD|것/NNB|도/JX|아니/VV|고/ECE|./SF|진짜/MAG|그/VV|지/ECD|같/VA|은/ETD|앱/NNG|이/VCP|네요/EFN|./SF"
"9월5일 검색기능안된다고 문의했는데 9월15일 전화하니 또 기다리라고만함.담당자 연결같은건 안된다고함.고객은 문제접수하고 계속 그냥 기다리기 하는것밖에 안된다고함.","9/NR|월/NNM|5/NR|일/NNM|검색/NNG|기능/NNG|안/MAG|되/XSV|ㄴ다고/ECE|문의/NNG|하/XSV|었/EPT|는데/ECD|9/NR|월/NNM|15/NR|일/NNM|전화/NNG|하/XSV|니/ECD|또/MAG|기다리/VV|라/ECD|고만하/VV|ㅁ/ETN|./SF|담당자/NNG|연결/NNG|같/VA|은/ETD|건/NNG|안/MAG|되/XSV|ㄴ다고/ECE|하/VV|ㅁ/ETN|./SF|고객/NNG|은/JX|문제/NNG|접수/NNG|하/XSV|고/ECE|계속/MAG|그냥/MAG|기다리/VV|기/ETN|하/VV|는/ETD|것/NNB|밖에/JX|안/MAG|되/VV|ㄴ다고/ECE|하/VV|ㅁ/ETN|./SF"
"웨이브 로고 바뀐 건 봐줄만한데 앱에 들어갈 때 눈뽕이 너무 심합니다. 하다못해 다크모드를 켰을 때만이라도 화면을 어두운 톤으로 조정하는 걸 고려해보시면 어떻까 합니다. 그리고 밝기 음량 조절 제스처는 이제 없애는 거 어떤가요. 시대에 뒤떨어지는 제스처가 왜 아직도 존재하는지 모르겠습니다. 마지막으로 일부 메뉴를 들어갈 때 속도가 너무 느립니다. 이 점을 제외한다면 굉장히 마음에 드는 앱입니다. 드라마를 좋아해서 그런지 보다 많이 보기도 하네요. 앱 디자인도 꽤 깔끔해졌고요.","웨이브/NNG|로고/NNG|바꾸/VV|ㄴ/ETD|건/NNM|봐주/VV|ㄹ/ETD|만하/VXA|ㄴ데/ECE|앱/NNG|에/JKM|들어가/VV|ㄹ/ETD|때/NNG|누/VV|ㄴ/ETD|뽕/NNG|이/JKS|너무/MAG|심하/VA|ㅂ니다/EFN|./SF|하다못해/MAG|다크모드/UN|를/JKO|키/VV|었/EPT|을/ETD|때/NNG|만/JX|이/VCP|라도/ECD|화면/NNG|을/JKO|어둡/VV|ㄴ/ETD|톤/NNG|으로/JKM|조정/NNG|하/XSV|는/ETD|것/NNB|을/JKO|고려/NNP|하/XSV|어/ECS|보시/VV|면/ECE|어/VV|어/ECS|떻/UN|까/VV|아/ECS|하/VV|ㅂ니다/EFN|./SF|그리고/MAG|밝기/NNG|음량/NNG|조절/NNG|제스처/NNG|는/JX|이제/MAG|없애/VV|는/ETD|거/NNB|어떻/VA|ㄴ가요/EFQ|./SF|시대/NNG|에/JKM|뒤떨어지/VV|는/ETD|제스처/NNG|가/JKS|왜/MAG|아직/MAG|도/JX|존재/NNG|하/XSV|는지/ECS|모르/VV|겠/EPT|습니다/EFN|./SF|마지막/NNG|으로/JKM|일부/NNG|메뉴/NNG|를/JKO|들어가/VV|ㄹ/ETD|때/NNG|속도/NNG|가/JKS|너무/MAG|느리/VA|ㅂ니다/EFN|./SF|이/NR|점/NNB|을/JKO|제외/NNG|하/XSV|ㄴ다면/ECE|굉장히/MAG|마음/NNG|에/JKM|드/VV|는/ETD|앱/NNG|이/VCP|ㅂ니다/EFN|./SF|드라마/NNG|를/JKO|좋/VV|어서/ECD|그렇/VA|ㄴ지/ECD|보다/MAG|많이/MAG|보/VV|기/ETN|도/JX|하/VV|네요/EFN|./SF|앱/NNG|디자인/NNG|도/JX|꽤/MAG|깔끔/XR|해지/VV|었/EPT|고요/EFN|./SF"
"전후방 버튼 5초 설정 가능 부탁드려요 가로 적용 개선 바랍니다.","전후방/NNG|버튼/NNG|5/NR|초/NNM|설정/NNG|가능/NNG|부탁/NNG|어요/EFN|가/VV|아/ECS|로/JKM|적용/NNG|개선/NNG|바라/VV|ㅂ니다/EFN|./SF"
"무료회원도 팝업창으로 볼수있게 좀 해주세요 다른 티비어플들은 무료회원이라도 팝업창해주는데 왜 웨이브는 안해주나요? 유료회원만 회원인가요?","무료/NNG|회원/NNG|도/JX|팝업/NNG|창/NNG|으로/JKM|보/VV|ㄹ/ETD|수/NNB|있/VV|게/ECD|좀/MAG|하/VV|어/ECS|주세/NNG|요/JX|다른/MDT|티비어플들/UN|은/JX|무료/NNG|회원/NNG|이/VCP|라/ECD|도/JX|팝업/NNG|창/NNG|하/XSV|어/ECS|주/VXV|는데/ECD|왜/MAG|웨이브/NNG|는/JX|안/MAG|하/VV|어/ECS|주/VXV|나요/EFQ|?/SF|유료/NNG|회원/NNG|만/JX|회원/NNG|이/VCP|ㄴ가요/EFQ|?/SF"
"팝업 플레이어 어디갔나요? 팝업 팝업 가장 요긴한 기능 이엇는데 팝업 플레이어 가능 돌려줘여.","팝업/NNG|플레이어/NNG|어디/NP|가/VV|었/EPT|나요/EFQ|?/SF|팝업/NNG|팝업/NNG|가장/MAG|요긴/XR|하/XSA|ㄴ/ETD|기능/NNG|이엇/UN|늘/VV|ㄴ/ETD|데/NNB|팝업/NNG|플레이어/NNG|가능/NNG|돌려주/VV|어/ECS|여/NNG|./SF"
"다른건 다 좋은데 갤럭시인 경우에만 해당되는지 모르겠지만 재생 중 화면이 어두워지는 현상이 발생하네요 스마트폰과 태블릿 두가지에서 같은 현상이 발생되네요.","다른/MDT|건/NNM|다/MAG|좋/VA|은데/ECD|갤럭시/NNG|이/VCP|ㄴ/ETD|경우/NNG|에/JKM|만/JX|해당/NNG|되/XSV|는지/ECS|모르/VV|겠/EPT|지만/ECE|재생/NNG|중/NNB|화면/NNG|이/JKS|어둡/VA|어/ECS|지/VXV|는/ETD|현상/NNG|이/JKS|발생/NNG|하/XSV|네요/EFN|스마트/NNP|스마트폰/NNG|과/JKM|태블릿/NNG|두/MDN|가지/NNB|에서/JKM|같/VA|은/ETD|현상/NNG|이/JKS|발생/NNG|되/XSV|네요/EFN|./SF"
"구글결제토스로 결제를 했는데 3일뒤인가 취소가. 되어서 돈이 환불이됫네요 이유없이. 결제취소가된건지 이해할수가없네요 구글자체 문제면 여러사람들도 그런일이 있을수도 있다는 말인데 결제에 대해서 신경좀 써주셨으면합니다.","구글/NNG|결제/NNG|토스/NNG|로/JKM|결제/NNG|를/JKO|하/VV|었/EPT|는데/ECD|3/NR|일/NNM|뒤/NNG|이/VCP|ㄴ가/ECS|취소/NNG|가/JKS|./SF|되/VV|어서/ECD|돈/NNG|이/JKS|환불이됫네/UN|요/JX|이유/NNG|없이/MAG|./SF|결제/NNG|취소/NNG|가/JKC|되/VV|ㄴ/ETD|것/NNB|이/VCP|ㄴ지/ECS|이해/NNG|하/XSV|ㄹ/ETD|수/NNB|가/JKS|없/VA|네요/EFN|구글/NNG|자체/NNG|문제/NNG|이/VCP|면/ECE|여러/MDT|사람/NNG|들/XSN|도/JX|그런/MDT|일/NNG|이/JKS|있/VV|을/ETD|수/NNB|도/JX|있/VV|다는/ETD|말/NNG|이/VCP|ㄴ데/ECE|결제/NNG|에/JKM|대하/VV|어서/ECD|신경/NNG|좀/MAG|쓰/VV|어/ECS|주/VXV|시/EPH|었/EPT|으면/ECD|하/VV|ㅂ니다/EFN|./SF"
"첫달 100원 2개월 50 할인 혜택 적용되지 않았습니다.","첫/MDT|달/NNG|100/NR|원/NNM|2/NR|개월/NNM|50/NR|할/NNM|이/VCP|ㄴ/ETD|혜택/NNG|적용/NNG|되/XSV|지/ECD|안/MAG|았/EPT|습니다/EFN|./SF"
